{0.0, 0.0, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.18929886173198018, -0.03711167672599505, 0.0} is_goal: True
{0.43807362453792453, -0.04284906983944606, 0.0} is_goal: True
{0.43807362453792453, -0.04284906983944606, 0.0} is_goal: True
